NO,GOVNO,정류장아이디,반대편정류장아이디,목적지방향성사용여부,정류장명(국문),정류장명(영문),경도(X),위도(Y),방향(Degree),주소(국문),주소(영문),구분,사용여부,등록일자,
306,3,가덕문의1,,N,미천3리,Micheon 3-ri,127.498118,36.514059,110,충청북도 청주시 상당구 문의면 문의시내로 8,"8, Munuisinae-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
307,3,가덕문의2,,N,남계1리,Namgye 1-ri,127.502391,36.537729,280,충청북도 청주시 상당구 문의면 남계2길 29-2,"29-2, Namgye 2-gil, Munui-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
308,3,가덕문의3,,Y,문의면분회,Mun-uimyeon branch,127.499798,36.515578,25,충청북도 청주시 상당구 문의면 대청호반로 822,"822, Daecheonghoban-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
309,3,가덕문의4,,N,남계3리,Namgye 3-ri,127.491156,36.542914,245,충청북도 청주시 상당구 문의면 남계4길 37,"37, Namgye 4-gil, Munmun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
310,3,가덕문의5,,N,계산1리,Gyesan1li,127.560402,36.552037,105,충청북도 청주시 상당구 가덕면 계산1길 52,"52 Gyesan 1-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
311,3,가덕문의6,,N,계산3리,Gyesan3li,127.561232,36.559701,70,충청북도 청주시 상당구 가덕면 계산3길 10-7,"10-7, Gyesan 3-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
312,3,가덕문의7,,N,노동1리,Nodong 1ri,127.52632,36.551341,30,충청북도 청주시 상당구 가덕면 노동두산길 29,"29 Nodongdusan-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
313,3,가덕문의8,,N,인차2리,Incha 2-ri,127.55979,36.562102,335,충청북도 청주시 상당구 가덕면 계산은행로 15,"15 Gyesaneuneun-ro, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
314,3,가덕문의9,,N,청용2리,Cheongyong 2-ri,127.547727,36.539727,60,충청북도 청주시 상당구 가덕면 청용2길 33,"33, Cheongyong 2-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
315,3,가덕문의10,,N,청용2리(화산),Cheongyong 2-ri(Hwasan),127.542883,36.533821,175,충청북도 청주시 상당구 가덕면 청용1길 46,"46, Cheongyong 1-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
316,3,가덕문의11,,Y,노현1리,Nohyeon 1-ri,127.527096,36.515797,35,충청북도 청주시 상당구 문의면 노현마구로 27,"27, Nohyeonmagu-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
317,3,가덕문의12,,N,상장1리,Sangjang1li,127.51883,36.516728,355,충청북도 청주시 상당구 문의면 상장1길 48-4,"48-4 Sangjang 1-gil, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
318,3,가덕문의13,,N,수곡2리,Sugok 2-ri,127.56764,36.559359,340,충청북도 청주시 상당구 가덕면 수곡길 65,"65, Sugok-gil, Gadeok-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",가상정류장,null,2023-06-27,가덕문의
319,3,가덕문의14,가덕문의18,Y,남계2리,Namgye 2-ri,127.502007,36.543432,165,충청북도 청주시 상당구 문의면 미천고은로 214,"214, Micheongoeun-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
320,3,가덕문의15,가덕문의16,Y,남계1리(항공기술훈련원)[미천1리방면],Namgye 1-ri (Aviation Technical Training Center),127.503249,36.531661,190,충청북도 청주시 상당구 문의면 남계리 554-2,"554-2 Namgye-ri, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
321,3,가덕문의16,가덕문의15,Y,남계1리(항공기술훈련원)[남계1리방면],Namgye 1-ri (Aviation Technical Training Center),127.503499,36.531511,10,충청북도 청주시 상당구 문의면 미천고은로 84,"84, Micheongoeun-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
322,3,가덕문의17,가덕문의19,Y,남계1리[남계2리방면],Namgye 1-ri (to Namgye 2-ri direction),127.50415,36.53817,340,충청북도 청주시 상당구 문의면 남계2길 41,"41, Namgye 2-gil, Munmun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
323,3,가덕문의18,가덕문의14,Y,남계2리[청주시내방면],Namgye 2-ri (to Inside Cheongju),127.502189,36.543473,340,충청북도 청주시 상당구 문의면 남계리 821-1,"821-1 Namgye-ri, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
324,3,가덕문의19,가덕문의17,Y,한옥마을[남계1리(항공기술훈련원)방면],Hanok Village (to Namgye 1-ri),127.50412,36.537357,170,충청북도 청주시 상당구 문의면 남계리 157-5,"157-5 Namgye-ri, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
325,3,가덕문의20,가덕문의27,Y,미천1리[미천6리방면],Micheon 1-ri (to Micheon 6-ri),127.50033,36.522508,230,충청북도 청주시 상당구 문의면 문의시내로 124,"124, Munuisinae-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
326,3,가덕문의21,가덕문의26,Y,미천6리[문의초등학교입구방면],Micheon 6-ri (to Munui Elementary School),127.49702,36.52085,200,충청북도 청주시 상당구 문의면 문의시내로 84,"84, Munuisinae-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
327,3,가덕문의22,가덕문의25,Y,문의초등학교입구[문의119안전센터방면],Entrance to mun-ui elementary school,127.497125,36.518397,170,충청북도 청주시 상당구 문의면 문의시내로 59,"59, Munuisinae-ro, Mumun-myeon, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",기존정류장,null,2023-06-27,가덕문의
